ds,yhat,yhat_lower,yhat_upper,trend
2015-01-31,14300.788629859606,5079.7955375452475,22917.890572652508,33505.68614060545
2015-02-28,2292.490775423732,-6364.89449670129,11628.900243394508,33906.28983210661
2015-03-31,52016.92102477264,43113.298300232025,61016.07087765531,34349.81534687926
2015-04-30,21123.413134438302,11457.041951907167,30487.598180043762,34779.03358698183
2015-05-31,22726.497781351798,13027.747627943314,31819.755551196686,35222.55910351368
2015-06-30,29917.67553592431,20912.34608641712,39670.72996251807,35651.77734565542
2015-07-31,25841.0908548833,16283.45583384282,35524.60363477765,36095.30286253522
2015-08-31,24904.30848081504,15869.600271708281,33771.9366811452,36538.8283786148
2015-09-30,70749.55291200042,61376.469923559736,79644.91008073892,36968.04661847961
2015-10-31,38069.691567478214,28258.58772686282,47534.318001180574,37411.57213300657
2015-11-30,80843.73659195146,72209.77556946535,90599.72944578336,37840.790375063545
2015-12-31,63393.26891256054,54649.234035304886,73102.50864573548,38284.3158932573
2016-01-31,19349.24544105893,9869.600467508533,28716.190470813024,38727.84141145105
2016-02-29,14205.699881687502,5416.068949688656,24290.265382404366,39142.76804356414
2016-03-31,33166.007930952466,23857.456414213804,42618.185091047766,39586.31056457785
2016-04-30,32995.51395896154,23552.213017215327,42724.7579239725,40015.54526233304
2016-05-31,40181.72931179323,31164.284624264048,49647.31827055277,40459.45876456051
2016-06-30,28602.332694839482,19031.825777090155,37418.49093743519,40889.33679061309
2016-07-31,32163.019803104755,22766.413401561254,40812.3719041559,41333.544084200745
2016-08-31,38791.84112894908,29243.34574073645,48605.68722840873,41778.82642902052
2016-09-30,63984.03471530483,55103.31893476925,73557.14184991362,42210.41965197054
2016-10-31,46040.106393018315,36734.39155345882,54910.64109351322,42656.39931568556
2016-11-30,78370.9045762585,68551.3045462521,87042.00469913309,43366.44142980679
2016-12-31,81357.47367338202,72850.03277926198,90115.91116297165,44100.74144550777
2017-01-31,26112.34848958779,16876.27240298694,35324.502217360336,44835.04146120874
2017-02-28,18207.642037116944,8935.35270805288,27464.7120784223,45498.63994734354
2017-03-31,47851.89423717785,38651.93560742705,56674.583331001275,46233.78689892155
2017-04-30,37865.74867840097,29176.248899859707,47103.217621612894,46945.21943270672
2017-05-31,43316.655062901904,33834.248985525075,52850.97663530557,47680.461078675326
2017-06-30,38245.53978242679,29016.26254214621,48259.457020351176,48392.72741747284
2017-07-31,39624.27445360257,30403.793391038173,49065.749525965344,49128.7359675636
2017-08-31,43931.24792933775,35030.0247384068,52949.11024671205,49865.57762129181
2017-09-30,76334.695664219,66535.28769678334,85792.77684307992,50579.31267624694
2017-10-31,53810.170123812386,44829.963852518194,63029.95452374236,51316.83889970059
2017-11-30,89780.86487216367,80647.38018796525,99426.5295538446,52030.85944598876
2017-12-31,86035.93549624726,77016.4689892751,95502.87549179577,52768.80204165287
2018-01-31,34521.3416745329,25170.894520556663,43593.5038501451,53506.74463731696
2018-02-28,24656.677805859872,16094.653644094951,33527.90220837725,54173.27390176232
2018-03-31,64561.31251475105,55383.56958412435,73765.82747838367,54911.217017158444
2018-04-30,44333.47064855551,34078.47939131416,53655.459893061605,55625.35551592888
2018-05-31,47925.11862631648,38554.71360332139,57868.65584805755,56363.298631325
2018-06-30,49114.91087350852,39780.45281289298,58079.03727251859,57077.43713009544
2018-07-31,47949.460491899496,39464.13971391933,57200.39497042578,57815.380245491564
2018-08-31,49735.77200659485,40446.768093145525,58720.31926390515,58553.32336088768
2018-09-30,89026.81994213747,80130.20835158111,98151.30988994826,59267.46185965812
2018-10-31,61590.523891192264,52502.3789857095,70633.12074057577,60005.40497505424
2018-11-30,101136.33695717424,92884.81078563094,110675.47336754418,60719.54347382468
2018-12-31,90673.80059830898,81573.76890155267,100092.2736742186,61457.486589220796
2019-01-31,42990.53219389965,33384.42620926652,52405.76806285253,62195.429704616916
2019-02-28,31248.159913476116,21641.524645718073,40359.90579418127,62861.95897013601
2019-03-31,81267.00776333525,72260.06221705388,90545.22513702001,63599.90208553213
