ds,y
2015-01-31,1533.966
2015-02-28,1233.174
2015-03-31,5827.602
2015-04-30,3712.34
2015-05-31,4044.522
2015-06-30,9374.1066
2015-07-31,6740.574
2015-08-31,3022.183
2015-09-30,34254.8658
2015-10-31,8965.757
2015-11-30,13904.4562
2015-12-31,10306.974
2016-01-31,2510.5116000000003
2016-02-29,2527.586
2016-03-31,6281.2184
2016-04-30,11642.055
2016-05-31,8623.903
2016-06-30,3713.187
2016-07-31,7605.567
2016-08-31,9301.4512
2016-09-30,7578.52
2016-10-31,7000.486
2016-11-30,18903.086
2016-12-31,16737.6012
2017-01-31,5942.156
2017-02-28,1115.728
2017-03-31,12602.997000000001
2017-04-30,7462.352
2017-05-31,11743.965
2017-06-30,6553.148
2017-07-31,7953.284000000001
2017-08-31,6982.5548
2017-09-30,17270.0974
2017-10-31,25801.960000000003
2017-11-30,16910.3168
2017-12-31,25335.321
2018-01-31,21195.756
2018-02-28,3334.8224
2018-03-31,15504.5788
2018-04-30,3383.1236
2018-05-31,11396.8862
2018-06-30,8494.4412
2018-07-31,8870.844000000001
2018-08-31,6252.994
2018-09-30,17342.997
2018-10-31,11812.8482
2018-11-30,15154.978000000001
2018-12-31,18883.0708
