ds,y
2015-01-31,436.174
2015-02-28,199.77599999999998
2015-03-31,5458.176
2015-04-30,3054.906
2015-05-31,7250.103
2015-06-30,10759.156
2015-07-31,3403.296
2015-08-31,4582.447999999999
2015-09-30,25292.789
2015-10-31,8945.124
2015-11-30,33573.195
2015-12-31,24697.676
2016-01-31,4563.876
2016-02-29,6463.133
2016-03-31,3467.537
2016-04-30,7778.796
2016-05-31,7309.268
2016-06-30,7442.988
2016-07-31,11715.598
2016-08-31,9383.782000000001
2016-09-30,29401.006999999998
2016-10-31,6302.03
2016-11-30,34724.761
2016-12-31,24672.407
2017-01-31,4860.0869999999995
2017-02-28,3149.821
2017-03-31,16764.857
2017-04-30,17769.696
2017-05-31,22258.463
2017-06-30,11188.446
2017-07-31,8524.197
2017-08-31,8691.783
2017-09-30,20198.524
2017-10-31,15065.465
2017-11-30,22636.619
2017-12-31,27403.58
2018-01-31,5383.284
2018-02-28,4968.522
2018-03-31,7691.016
2018-04-30,9251.28
2018-05-31,6119.369
2018-06-30,14917.427
2018-07-31,12321.823
2018-08-31,20741.946
2018-09-30,31520.154
2018-10-31,32295.24
2018-11-30,45633.638999999996
2018-12-31,19285.486
