ds,y
2015-01-31,6217.277
2015-02-28,1839.658
2015-03-31,14243.368
2015-04-30,7944.8369999999995
2015-05-31,6912.787
2015-06-30,13144.5816
2015-07-31,10821.051
2015-08-31,7125.2105
2015-09-30,23816.4808
2015-10-31,12304.247
2015-11-30,21471.0407
2015-12-31,30637.3425
2016-01-31,11739.9416
2016-02-29,3134.374
2016-03-31,8722.6374
2016-04-30,10475.6985
2016-05-31,9374.950499999999
2016-06-30,7540.971
2016-07-31,13667.039999999999
2016-08-31,9638.5922
2016-09-30,25085.423
2016-10-31,11664.4875
2016-11-30,30197.500500000002
2016-12-31,22812.2512
2017-01-31,7622.743
2017-02-28,3925.551
2017-03-31,12272.662
2017-04-30,13212.09
2017-05-31,14892.575
2017-06-30,12450.524
2017-07-31,12569.759
2017-08-31,11910.0583
2017-09-30,26755.4749
2017-10-31,11813.009
2017-11-30,31783.6288
2017-12-31,36604.965
2018-01-31,5930.162
2018-02-28,6774.3774
2018-03-31,10893.4448
2018-04-30,9065.9581
2018-05-31,16957.5582
2018-06-30,17032.3867
2018-07-31,11375.822
2018-08-31,15419.122
2018-09-30,28516.706000000002
2018-10-31,21884.0682
2018-11-30,37056.715000000004
2018-12-31,31407.466800000002
