ds,y
2015-01-31,4845.14
2015-02-28,1071.724
2015-03-31,8602.455
2015-04-30,10988.874
2015-05-31,7131.639999999999
2015-06-30,12742.389
2015-07-31,15121.208
2015-08-31,11055.276
2015-09-30,27423.298000000003
2015-10-31,7211.128
2015-11-30,26363.196
2015-12-31,16956.492
2016-01-31,1808.78
2016-02-29,5368.067
2016-03-31,13472.739
2016-04-30,12517.818
2016-05-31,8941.58
2016-06-30,9623.037
2016-07-31,4706.243
2016-08-31,11735.108
2016-09-30,19031.055
2016-10-31,8642.36
2016-11-30,21178.298
2016-12-31,16099.322
2017-01-31,5299.682
2017-02-28,6794.349999999999
2017-03-31,17324.545
2017-04-30,10577.175
2017-05-31,12931.642
2017-06-30,10901.81
2017-07-31,12903.824
2017-08-31,8959.74
2017-09-30,23013.402
2017-10-31,16236.65
2017-11-30,20141.808
2017-12-31,37332.938
2018-01-31,21052.979
2018-02-28,7378.172
2018-03-31,14541.346
2018-04-30,14214.947
2018-05-31,13493.804
2018-06-30,14221.101
2018-07-31,10239.356
2018-08-31,29799.564
2018-09-30,31607.523
2018-10-31,22708.4
2018-11-30,31472.337
2018-12-31,29638.012
