ds,y
2015-01-31,9296.844000000001
2015-02-28,2028.986
2015-03-31,32911.121
2015-04-30,12069.252
2015-05-31,5779.24
2015-06-30,4560.251
2015-07-31,1829.1200000000001
2015-08-31,6769.9565
2015-09-30,7175.335
2015-10-31,4813.754
2015-11-30,7385.072999999999
2015-12-31,8755.973
2016-01-31,4965.834
2016-02-29,1156.5140000000001
2016-03-31,10322.095
2016-04-30,5718.3335
2016-05-31,1983.704
2016-06-30,7354.249
2016-07-31,2197.268
2016-08-31,5584.75
2016-09-30,13591.507
2016-10-31,4085.7275
2016-11-30,7795.8205
2016-12-31,5320.28
2017-01-31,4082.426
2017-02-28,15613.104000000001
2017-03-31,4238.174
2017-04-30,2965.71
2017-05-31,11960.233
2017-06-30,3455.885
2017-07-31,6562.419
2017-08-31,3050.0105
2017-09-30,12023.451
2017-10-31,3090.914
2017-11-30,15596.555
2017-12-31,10897.022
2018-01-31,4815.59
2018-02-28,2182.872
2018-03-31,6643.72
2018-04-30,9447.753499999999
2018-05-31,10943.741
2018-06-30,8933.92
2018-07-31,2864.898
2018-08-31,10371.534
2018-09-30,10182.52
2018-10-31,12136.951000000001
2018-11-30,28431.331
2018-12-31,15209.737
