ds,y
2015-01-31,3143.29
2015-02-28,1608.51
2015-03-31,32359.974000000002
2015-04-30,8973.144
2015-05-31,9599.876
2015-06-30,8435.965
2015-07-31,7839.284
2015-08-31,8937.05
2015-09-30,30383.748
2015-10-31,11938.018
2015-11-30,30073.424
2015-12-31,20573.224000000002
2016-01-31,4518.236
2016-02-29,3448.9700000000003
2016-03-31,10143.942
2016-04-30,11160.952000000001
2016-05-31,11643.0
2016-06-30,6435.366
2016-07-31,10234.976
2016-08-31,15444.642
2016-09-30,19017.128
2016-10-31,10704.89
2016-11-30,23873.601
2016-12-31,35632.028
2017-01-31,5620.066
2017-02-28,12258.914
2017-03-31,21567.852
2017-04-30,14890.502
2017-05-31,28832.691
2017-06-30,16372.152
2017-07-31,12847.2
2017-08-31,9672.402
2017-09-30,19424.514
2017-10-31,31533.374
2017-11-30,27141.059
2017-12-31,21801.218
2018-01-31,16493.333
2018-02-28,5768.448
2018-03-31,33428.622
2018-04-30,12261.005000000001
2018-05-31,13374.62
2018-06-30,16937.24
2018-07-31,23209.926
2018-08-31,17619.162
2018-09-30,26028.659
2018-10-31,32855.663
2018-11-30,49409.103
2018-12-31,21984.91
