ds,y
2015-01-31,2938.723
2015-02-28,1057.956
2015-03-31,11008.898
2015-04-30,9070.357
2015-05-31,6570.438
2015-06-30,9629.422
2015-07-31,21808.553
2015-08-31,12742.949
2015-09-30,14900.537
2015-10-31,8728.758
2015-11-30,23044.9365
2015-12-31,24406.4355
2016-01-31,6026.736000000001
2016-02-29,1804.1779999999999
2016-03-31,12268.467999999999
2016-04-30,9015.284
2016-05-31,12042.6555
2016-06-30,5088.95
2016-07-31,7089.826
2016-08-31,12548.359
2016-09-30,12562.572
2016-10-31,13623.493999999999
2016-11-30,13825.732
2016-12-31,27813.313
2017-01-31,3657.822
2017-02-28,3100.162
2017-03-31,17559.031
2017-04-30,10482.009
2017-05-31,10694.247
2017-06-30,18527.007
2017-07-31,15280.883
2017-08-31,11817.852
2017-09-30,19701.3185
2017-10-31,15624.694
2017-11-30,23923.005
2017-12-31,32103.198
2018-01-31,12081.844000000001
2018-02-28,9434.781
2018-03-31,29024.097999999998
2018-04-30,13459.753
2018-05-31,15365.986
2018-06-30,15844.9395
2018-07-31,20767.539
2018-08-31,25471.374
2018-09-30,27107.217
2018-10-31,21203.092
2018-11-30,28718.207
2018-12-31,29652.095
