ds,yhat,yhat_lower,yhat_upper
2015-01-31,4010.5036966361686,-1448.257983091049,9240.090944875425
2015-02-28,1798.266736689101,-3430.1091509927955,6891.769920099987
2015-03-31,9061.579319218627,3609.3973872261936,14832.55543592906
2015-04-30,9077.066029888463,3898.958214097308,14332.737196054262
2015-05-31,5495.171077869571,187.15628184333698,11042.618593084997
2015-06-30,7822.497430034391,2736.0442254119844,13323.79761307639
2015-07-31,7970.302661670591,2804.004337608367,13970.120315018552
2015-08-31,10316.908653396127,5013.947774239982,15583.327442180822
2015-09-30,22486.784218839253,17278.3745578261,27884.961210717767
2015-10-31,7103.163094734097,1647.9038028445586,12273.945745853713
2015-11-30,23356.17928658882,17658.002011943572,28684.4789209338
2015-12-31,20473.75367320807,15121.859319498604,25604.084659189204
2016-01-31,6193.835476155637,1113.188845672547,11100.872051281824
2016-02-29,3194.477986905549,-1928.2751847440347,8479.738066276017
2016-03-31,12598.405510199782,7147.20077532676,18137.19685025457
2016-04-30,9762.161697709855,4419.0708341234185,15048.872133943116
2016-05-31,10450.879881882262,5415.605016706291,16101.883283864772
2016-06-30,10632.48898878207,5537.239412882166,16227.854641636442
2016-07-31,8200.975651934505,2762.889899332637,13718.715471565582
2016-08-31,15140.97017208881,10112.773691230783,20681.359110981626
2016-09-30,22698.012769641988,17155.257255890876,28452.233042488977
2016-10-31,14973.528540793608,9652.225499508415,20397.709349795376
2016-11-30,20878.713964548708,15581.539511847768,26317.10993010144
2016-12-31,24167.020756462487,18731.02718888707,29398.80275970453
2017-01-31,10291.706061297205,4949.325821429189,15904.32106177698
2017-02-28,6267.120454583562,991.3025441525136,11599.781634631767
2017-03-31,14963.613746242389,9659.013855280788,20232.34820529342
2017-04-30,13086.454322018162,7928.521853484824,18444.798762767157
2017-05-31,12350.369633670145,6600.3299876764695,17810.381559334695
2017-06-30,13223.78862161959,7537.372579833904,18440.62600293592
2017-07-31,11672.393354718033,5992.242399242087,17227.358167135004
2017-08-31,17082.10679489836,11719.972813204062,22143.852656381994
2017-09-30,26188.00152474981,20800.601422319676,31643.604709807987
2017-10-31,15880.666063401803,10426.216380967351,20720.321178514154
2017-11-30,25239.284790284335,19497.781425323126,30527.956621365665
2017-12-31,26508.293760059536,21352.09045632358,31938.223100251587
2018-01-31,12466.638869677543,7022.240136083835,17633.49476582673
2018-02-28,9347.66623154887,3894.4664469697095,14729.407052709505
2018-03-31,17330.593589653254,11879.04569418474,22810.02472917945
2018-04-30,16404.265793090268,10985.39881009004,21841.523558384964
2018-05-31,14244.340769229435,8834.6754941088,19913.162936311975
2018-06-30,15833.232142551704,10443.067851399737,21356.382377373844
2018-07-31,15141.87416902659,9736.558324757025,20809.814870700753
2018-08-31,19020.094104040923,13210.427297426706,24239.245091240788
2018-09-30,29663.840732215303,24290.59048828611,34878.53891435905
2018-10-31,16802.92551751383,11736.538606900895,21998.405396808772
2018-11-30,29611.822181452175,24178.606233585488,34984.62271678261
2018-12-31,28823.38407128313,23429.881842369974,34269.900033615915
2019-01-31,14646.724651363395,9654.887811090703,20031.700756800583
2019-02-28,12434.656284050077,7220.059726423885,17892.788643839038
2019-03-31,19698.1555267816,14325.762519719216,25143.481004503166
