ds,yhat,yhat_lower,yhat_upper
2015-01-31,2109.959880468148,-1577.0692174412054,5938.855967892979
2015-02-28,-101.3529198606775,-3971.345024626185,3599.945288840655
2015-03-31,13860.41611925885,10101.559061734873,17667.469698946148
2015-04-30,5666.337693046584,1734.837994867475,9351.913669443384
2015-05-31,3457.720889421629,-54.569637455528195,7160.820235805975
2015-06-30,7350.946592637146,3733.404692753708,10964.61129677498
2015-07-31,16738.723542791406,13115.388558375005,20412.586418179824
2015-08-31,10545.286796747227,6989.599407759546,14271.197163185821
2015-09-30,13643.493542337139,9820.456326638181,17366.430920270916
2015-10-31,6882.716837029031,3338.212381924589,10510.033670636596
2015-11-30,21385.355728320195,17853.522665929308,25202.641064560226
2015-12-31,21477.127390688664,17700.947959348894,25044.522171568988
2016-01-31,5913.677288647014,2171.8718074801213,9643.847134431748
2016-02-29,1843.505045014259,-1731.6453251788048,5354.393754360807
2016-03-31,15091.482931622872,11477.24135969453,18662.348698627196
2016-04-30,9357.339485464961,5653.886939013915,13136.953356620337
2016-05-31,12937.7167948082,9142.255882907666,16787.934422150567
2016-06-30,11311.856942018105,7567.2620914141535,14834.249989551923
2016-07-31,9774.119847243737,5808.62693241694,13279.144581191915
2016-08-31,14724.195563102705,11045.137018302856,18486.674611703813
2016-09-30,17474.208968168165,13768.11020495464,21299.426231182515
2016-10-31,16752.736210441784,13351.559975665696,20566.55571494103
2016-11-30,17386.92350968609,13666.95307173711,20972.75075314496
2016-12-31,29501.162884527923,25564.044278002853,32897.39009618475
2017-01-31,6457.195198500577,2808.8775963577677,10022.850487216789
2017-02-28,5162.097377401027,1514.1690174315054,8680.611453641832
2017-03-31,18672.96551641298,15025.319274510552,22240.313144560438
2017-04-30,12133.285085294292,8697.151524814306,15862.902393462691
2017-05-31,13740.420734129386,10057.600468006674,17529.70623046083
2017-06-30,13887.412847115167,10315.990941534841,17600.245554538724
2017-07-31,16064.69402170821,12347.01802609691,19823.783760974176
2017-08-31,17362.28019536502,13583.259282954037,21188.05433710514
2017-09-30,20211.443617984864,16760.695242771813,23908.019691351896
2017-10-31,17418.25652981091,13631.138340457408,21032.85666332143
2017-11-30,22691.67792364805,19004.504758561554,26275.997440925552
2017-12-31,30824.539635095723,27091.480438434166,34547.426415413596
2018-01-31,10235.970090063682,6441.929560801787,14066.228919123248
2018-02-28,8500.869181095086,4739.189503747398,12130.458694929204
2018-03-31,22250.597831071314,18571.647138161392,26030.379986312568
2018-04-30,14891.325375292321,11079.810988694619,18284.22992619011
2018-05-31,14569.125577213708,10681.020312421962,18129.1936865914
2018-06-30,16557.381053321726,12795.91064437123,20307.975846905752
2018-07-31,22378.378244251388,18816.157165898938,26197.620070696008
2018-08-31,19960.98109689191,16683.21636361522,23790.615731316706
2018-09-30,22926.0371231542,19395.913296321753,26731.625442329107
2018-10-31,18119.694373814385,14633.119852291817,22052.517500763362
2018-11-30,28017.709235787068,24564.720995430238,31552.4128873195
2018-12-31,32142.705939082807,28466.977719199018,36073.872297711394
2019-01-31,14048.80086682548,10454.695459431681,17679.290480720876
2019-02-28,11840.373145420848,8251.319381339847,15587.750829036882
2019-03-31,25805.33637924701,21997.17149435801,29602.566848157374
